"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
1,"1",N18,11727,5396,0,1
2,"1",O82,0,5258,0,1
3,"1",U07,2692,2456,0,1
4,"1",Z38,2099,2478,24,1
5,"1",Z98,1491,2101,4,1
6,"1",K81,602,1966,3,1
7,"1",A09,1015,1439,6,1
8,"1",Z41,340,1947,0,1
9,"1",M79,685,802,1,1
10,"1",K35,556,783,5,1
11,"1",Z01,523,699,3,1
12,"1",D25,0,1183,0,1
13,"1",T14,437,563,1,1
14,"1",T07,551,443,2,1
15,"1",N85,0,991,0,1
16,"1",M54,405,530,2,1
17,"1",I10,312,580,3,1
18,"1",H26,404,484,0,1
19,"1",N39,237,642,1,1
20,"1",J18,447,407,2,1
21,"1",K37,293,460,8,1
22,"1",O06,0,759,0,1
23,"1",K40,484,270,2,1
24,"1",K80,157,576,4,1
25,"1",J34,346,373,0,1
26,"1",E14,240,338,5,1
27,"1",N20,260,259,0,1
28,"1",O80,0,502,0,1
29,"1",M17,197,291,2,1
30,"1",N40,479,0,0,1
31,"1",R99,4965,6784,1,1
32,"2",O82,0,201,0,1
33,"2",A09,41,55,0,1
34,"2",K81,19,74,0,1
35,"2",J18,22,36,0,1
36,"2",S09,24,32,0,1
37,"2",Z38,30,26,0,1
38,"2",N39,22,29,1,1
39,"2",I10,20,29,0,1
40,"2",N12,11,31,0,1
41,"2",K35,21,20,0,1
42,"2",N23,21,18,0,1
43,"2",L03,21,16,0,1
44,"2",N85,0,31,0,1
45,"2",Z98,10,21,0,1
46,"2",K80,11,18,0,1
47,"2",D25,0,28,0,1
48,"2",S52,22,6,0,1
49,"2",E14,13,13,0,1
50,"2",M54,11,15,0,1
51,"2",K92,13,12,0,1
52,"2",O06,0,25,0,1
53,"2",C49,0,24,0,1
54,"2",K40,17,7,0,1
55,"2",U07,17,7,0,1
56,"2",T14,12,9,0,1
57,"2",C74,19,0,0,1
58,"2",T78,3,16,0,1
59,"2",E87,7,10,0,1
60,"2",N40,17,0,0,1
61,"2",K37,5,11,0,1
62,"2",R99,88,114,0,1
63,"3",O82,0,266,0,1
64,"3",Z38,103,143,0,1
65,"3",A09,55,73,0,1
66,"3",K80,27,92,0,1
67,"3",Z98,58,55,0,1
68,"3",K81,24,79,0,1
69,"3",K37,38,60,0,1
70,"3",U07,47,31,0,1
71,"3",N85,0,76,0,1
72,"3",C91,42,27,0,1
73,"3",H26,25,42,0,1
74,"3",N18,3,59,0,1
75,"3",Z01,25,35,0,1
76,"3",E14,19,38,0,1
77,"3",D25,0,52,0,1
78,"3",O06,0,52,0,1
79,"3",K40,37,13,0,1
80,"3",J18,23,22,0,1
81,"3",N39,9,35,0,1
82,"3",K35,24,19,0,1
83,"3",S82,19,20,0,1
84,"3",K42,14,20,0,1
85,"3",O80,0,34,0,1
86,"3",K46,12,16,0,1
87,"3",Z41,8,20,0,1
88,"3",K31,8,19,0,1
89,"3",S72,8,19,0,1
90,"3",M17,8,18,0,1
91,"3",H57,11,14,0,1
92,"3",F10,18,6,0,1
93,"3",R99,75,76,0,1
94,"4",O82,0,512,0,1
95,"4",Z38,226,217,0,1
96,"4",N18,225,4,0,1
97,"4",K81,33,125,0,1
98,"4",K37,61,85,0,1
99,"4",A09,52,67,0,1
100,"4",C91,54,65,0,1
101,"4",K29,29,57,0,1
102,"4",H26,37,43,0,1
103,"4",N85,0,74,0,1
104,"4",K80,17,47,0,1
105,"4",N39,17,47,0,1
106,"4",K40,34,28,0,1
107,"4",O80,0,59,0,1
108,"4",Z98,27,31,0,1
109,"4",O06,0,55,0,1
110,"4",K35,21,32,0,1
111,"4",U07,26,26,0,1
112,"4",E14,16,32,0,1
113,"4",K46,22,19,0,1
114,"4",N40,37,0,0,1
115,"4",N63,0,34,0,1
116,"4",N83,0,32,0,1
117,"4",S52,26,6,0,1
118,"4",K31,7,24,0,1
119,"4",Q36,22,9,0,1
120,"4",J18,11,19,0,1
121,"4",D25,0,29,0,1
122,"4",I10,7,21,0,1
123,"4",K42,10,15,0,1
124,"4",R99,64,110,0,1
125,"5",O82,0,1348,0,1
126,"5",Z38,524,547,14,1
127,"5",N18,507,168,0,1
128,"5",K81,39,216,0,1
129,"5",Z98,85,125,0,1
130,"5",K35,100,108,0,1
131,"5",A09,78,107,0,1
132,"5",E14,64,96,0,1
133,"5",N39,32,105,0,1
134,"5",D25,0,136,0,1
135,"5",J18,59,70,0,1
136,"5",N85,0,127,0,1
137,"5",U07,66,60,0,1
138,"5",K40,100,25,0,1
139,"5",K37,56,63,0,1
140,"5",K80,15,104,0,1
141,"5",O06,0,119,0,1
142,"5",O80,0,117,0,1
143,"5",S52,60,39,0,1
144,"5",I10,32,59,0,1
145,"5",S82,59,32,0,1
146,"5",N20,40,37,0,1
147,"5",S09,41,28,0,1
148,"5",C91,40,28,0,1
149,"5",T14,30,38,0,1
150,"5",A04,26,39,0,1
151,"5",K46,34,29,0,1
152,"5",S42,38,24,0,1
153,"5",E86,27,34,0,1
154,"5",N83,0,61,0,1
155,"5",R99,151,244,0,1
156,"6",O82,0,288,0,1
157,"6",Z38,102,111,0,1
158,"6",K81,13,62,0,1
159,"6",N18,6,62,0,1
160,"6",A09,32,27,0,1
161,"6",N85,0,58,0,1
162,"6",N39,14,41,0,1
163,"6",H26,25,28,0,1
164,"6",U07,19,31,1,1
165,"6",J18,22,27,0,1
166,"6",K80,9,40,0,1
167,"6",C91,14,25,0,1
168,"6",I10,17,22,0,1
169,"6",K40,26,11,0,1
170,"6",E14,9,27,0,1
171,"6",K35,14,21,0,1
172,"6",D25,0,34,0,1
173,"6",Z98,16,18,0,1
174,"6",O80,0,31,0,1
175,"6",K37,10,15,0,1
176,"6",O06,0,25,0,1
177,"6",S72,10,13,0,1
178,"6",T14,10,12,1,1
179,"6",M17,10,11,0,1
180,"6",S82,12,8,0,1
181,"6",K31,2,16,0,1
182,"6",K46,11,7,0,1
183,"6",S52,9,9,0,1
184,"6",I87,2,15,0,1
185,"6",N73,0,16,0,1
186,"6",R99,38,54,0,1
187,"7",Z38,284,269,0,1
188,"7",O82,0,395,0,1
189,"7",O66,0,108,0,1
190,"7",O80,0,84,0,1
191,"7",K35,35,48,0,1
192,"7",U07,53,29,0,1
193,"7",O06,0,72,0,1
194,"7",Z98,24,40,0,1
195,"7",A09,20,32,0,1
196,"7",C91,17,25,0,1
197,"7",N85,0,41,0,1
198,"7",K80,9,31,0,1
199,"7",K81,6,31,0,1
200,"7",C22,32,2,0,1
201,"7",N39,5,23,0,1
202,"7",D25,0,27,0,1
203,"7",K37,12,14,0,1
204,"7",E11,7,16,0,1
205,"7",J18,13,9,0,1
206,"7",K40,16,5,0,1
207,"7",N83,0,21,0,1
208,"7",E14,7,13,0,1
209,"7",N12,1,14,0,1
210,"7",S52,11,4,0,1
211,"7",S72,8,7,0,1
212,"7",E86,7,6,0,1
213,"7",H26,12,1,0,1
214,"7",K46,8,5,0,1
215,"7",N40,13,0,0,1
216,"7",D64,2,10,0,1
217,"7",R99,24,63,0,1
218,"8",Z38,328,308,0,1
219,"8",O82,0,504,0,1
220,"8",K35,58,90,0,1
221,"8",O80,0,142,0,1
222,"8",O06,0,96,0,1
223,"8",K80,21,55,0,1
224,"8",K81,10,52,0,1
225,"8",K40,38,21,0,1
