id,id_genero,valor
1,1,11727
1,2,5396
1,3,0
2,1,0
2,2,5258
2,3,0
3,1,2692
3,2,2456
3,3,0
4,1,2099
4,2,2478
4,3,24
5,1,1491
5,2,2101
5,3,4
6,1,602
6,2,1966
6,3,3
7,1,1015
7,2,1439
7,3,6
8,1,340
8,2,1947
8,3,0
9,1,685
9,2,802
9,3,1
10,1,556
10,2,783
10,3,5
11,1,523
11,2,699
11,3,3
12,1,0
12,2,1183
12,3,0
13,1,437
13,2,563
13,3,1
14,1,551
14,2,443
14,3,2
15,1,0
15,2,991
15,3,0
16,1,405
16,2,530
16,3,2
17,1,312
17,2,580
17,3,3
18,1,404
18,2,484
18,3,0
19,1,237
19,2,642
19,3,1
20,1,447
20,2,407
20,3,2
21,1,293
21,2,460
21,3,8
22,1,0
22,2,759
22,3,0
23,1,484
23,2,270
23,3,2
24,1,157
24,2,576
24,3,4
25,1,346
25,2,373
25,3,0
26,1,240
26,2,338
26,3,5
27,1,260
27,2,259
27,3,0
28,1,0
28,2,502
28,3,0
29,1,197
29,2,291
29,3,2
30,1,479
30,2,0
30,3,0
31,1,4965
31,2,6784
31,3,1
32,1,0
32,2,201
32,3,0
33,1,41
33,2,55
33,3,0
34,1,19
34,2,74
34,3,0
35,1,22
35,2,36
35,3,0
36,1,24
36,2,32
36,3,0
37,1,30
37,2,26
37,3,0
38,1,22
38,2,29
38,3,1
39,1,20
39,2,29
39,3,0
40,1,11
40,2,31
40,3,0
41,1,21
41,2,20
41,3,0
42,1,21
42,2,18
42,3,0
43,1,21
43,2,16
43,3,0
44,1,0
44,2,31
44,3,0
45,1,10
45,2,21
45,3,0
46,1,11
46,2,18
46,3,0
47,1,0
47,2,28
47,3,0
48,1,22
48,2,6
48,3,0
49,1,13
49,2,13
49,3,0
50,1,11
50,2,15
50,3,0
51,1,13
51,2,12
51,3,0
52,1,0
52,2,25
52,3,0
53,1,0
53,2,24
53,3,0
54,1,17
54,2,7
54,3,0
55,1,17
55,2,7
55,3,0
56,1,12
56,2,9
56,3,0
57,1,19
57,2,0
57,3,0
58,1,3
58,2,16
58,3,0
59,1,7
59,2,10
59,3,0
60,1,17
60,2,0
60,3,0
61,1,5
61,2,11
61,3,0
62,1,88
