"id","lim_inf_rango","lim_sup_rango","id_codigo_cie","hombres","mujeres","ignorado","id_tipo_servicio"
1,0,4,Z76,4115,4269,2,2
2,0,4,A09,4345,3680,1,2
3,0,4,J00,2304,2186,2,2
4,0,4,C91,1362,1259,0,2
5,0,4,J06,1132,1036,3,2
6,0,4,N39,627,1461,1,2
7,0,4,Z01,952,888,2,2
8,0,4,Z00,781,825,2,2
9,0,4,J20,818,753,0,2
10,0,4,J18,798,648,0,2
11,0,4,C69,625,664,0,2
12,0,4,K59,521,598,2,2
13,0,4,F83,541,532,0,2
14,0,4,J03,563,504,0,2
15,0,4,H10,576,476,0,2
16,0,4,H35,513,454,0,2
17,0,4,F80,637,308,0,2
18,0,4,H52,415,470,4,2
19,0,4,K02,449,440,0,2
20,0,4,A04,451,400,0,2
21,0,4,J30,466,385,0,2
22,0,4,J02,404,381,0,2
23,0,4,H50,340,441,2,2
24,0,4,Q37,491,282,0,2
25,0,4,L28,423,328,0,2
26,0,4,B86,369,371,0,2
27,0,4,F82,372,313,0,2
28,0,4,H00,274,388,1,2
29,0,4,E46,291,352,0,2
30,0,4,H66,297,295,0,2
31,0,4,R99,3897,3528,2,2
32,5,9,C91,2615,2145,0,2
33,5,9,Z76,2006,2374,1,2
34,5,9,H52,1438,1537,9,2
35,5,9,A09,934,830,2,2
36,5,9,H10,874,740,1,2
37,5,9,K02,672,626,0,2
38,5,9,Z01,638,605,0,2
39,5,9,N39,299,943,0,2
40,5,9,J30,566,468,1,2
41,5,9,J00,521,469,1,2
42,5,9,F80,548,435,0,2
43,5,9,J06,399,377,1,2
44,5,9,C81,457,252,0,2
45,5,9,H50,330,345,0,2
46,5,9,J20,308,277,0,2
47,5,9,B07,236,262,0,2
48,5,9,J03,255,232,0,2
49,5,9,C64,198,264,0,2
50,5,9,H66,229,215,0,2
51,5,9,Z00,215,221,3,2
52,5,9,Z98,257,165,0,2
53,5,9,B82,227,194,0,2
54,5,9,E66,177,231,0,2
55,5,9,K59,200,204,0,2
56,5,9,C69,252,140,0,2
57,5,9,F91,248,144,0,2
58,5,9,H00,171,208,0,2
59,5,9,T14,219,155,0,2
60,5,9,J18,191,174,0,2
61,5,9,S52,268,86,0,2
62,5,9,R99,1737,1830,1,2
63,10,14,C91,2200,1749,0,2
64,10,14,H52,1506,1811,3,2
65,10,14,Z76,1040,1323,0,2
66,10,14,H10,675,667,0,2
67,10,14,Z46,484,627,0,2
68,10,14,Z01,373,658,0,2
69,10,14,L70,346,501,0,2
70,10,14,N39,181,623,0,2
71,10,14,A09,381,391,1,2
72,10,14,K02,305,423,0,2
73,10,14,E66,229,332,0,2
74,10,14,D43,309,230,0,2
75,10,14,B07,272,226,0,2
76,10,14,J30,258,187,0,2
77,10,14,Z98,233,183,0,2
78,10,14,C79,219,192,0,2
79,10,14,J00,185,186,1,2
80,10,14,H50,182,160,0,2
81,10,14,H66,162,171,1,2
82,10,14,J06,174,157,0,2
83,10,14,K31,109,212,0,2
84,10,14,G51,169,137,0,2
85,10,14,L30,122,174,0,2
86,10,14,C81,278,17,0,2
87,10,14,J03,144,150,0,2
88,10,14,C41,128,155,0,2
89,10,14,F41,114,166,0,2
90,10,14,Z00,123,150,1,2
91,10,14,H00,85,185,0,2
92,10,14,N92,0,248,0,2
93,10,14,R99,1247,1380,0,2
94,15,19,L70,1980,1931,0,2
95,15,19,H52,1351,2038,5,2
96,15,19,C91,1810,1508,0,2
97,15,19,Z34,0,2926,0,2
98,15,19,Z01,202,2401,0,2
99,15,19,Z33,0,2226,0,2
100,15,19,N39,230,1543,1,2
101,15,19,Z71,583,1125,2,2
102,15,19,Z46,541,857,0,2
