id_clave_rango,id_codigo_cie,hombres,mujeres,ignorado,id_tipo_servicio
1,Z76,4115,4269,2,2
1,A09,4345,3680,1,2
1,J00,2304,2186,2,2
1,C91,1362,1259,0,2
1,J06,1132,1036,3,2
1,N39,627,1461,1,2
1,Z01,952,888,2,2
1,Z00,781,825,2,2
1,J20,818,753,0,2
1,J18,798,648,0,2
1,C69,625,664,0,2
1,K59,521,598,2,2
1,F83,541,532,0,2
1,J03,563,504,0,2
1,H10,576,476,0,2
1,H35,513,454,0,2
1,F80,637,308,0,2
1,H52,415,470,4,2
1,K02,449,440,0,2
1,A04,451,400,0,2
1,J30,466,385,0,2
1,J02,404,381,0,2
1,H50,340,441,2,2
1,Q37,491,282,0,2
1,L28,423,328,0,2
1,B86,369,371,0,2
1,F82,372,313,0,2
1,H00,274,388,1,2
1,E46,291,352,0,2
1,H66,297,295,0,2
1,R99,3897,3528,2,2
2,C91,2615,2145,0,2
2,Z76,2006,2374,1,2
2,H52,1438,1537,9,2
2,A09,934,830,2,2
2,H10,874,740,1,2
2,K02,672,626,0,2
2,Z01,638,605,0,2
2,N39,299,943,0,2
2,J30,566,468,1,2
2,J00,521,469,1,2
2,F80,548,435,0,2
2,J06,399,377,1,2
2,C81,457,252,0,2
2,H50,330,345,0,2
2,J20,308,277,0,2
2,B07,236,262,0,2
2,J03,255,232,0,2
2,C64,198,264,0,2
2,H66,229,215,0,2
2,Z00,215,221,3,2
2,Z98,257,165,0,2
2,B82,227,194,0,2
2,E66,177,231,0,2
2,K59,200,204,0,2
2,C69,252,140,0,2
2,F91,248,144,0,2
2,H00,171,208,0,2
2,T14,219,155,0,2
2,J18,191,174,0,2
2,S52,268,86,0,2
2,R99,1737,1830,1,2
3,C91,2200,1749,0,2
3,H52,1506,1811,3,2
3,Z76,1040,1323,0,2
3,H10,675,667,0,2
3,Z46,484,627,0,2
3,Z01,373,658,0,2
3,L70,346,501,0,2
3,N39,181,623,0,2
3,A09,381,391,1,2
3,K02,305,423,0,2
3,E66,229,332,0,2
3,D43,309,230,0,2
3,B07,272,226,0,2
3,J30,258,187,0,2
3,Z98,233,183,0,2
3,C79,219,192,0,2
3,J00,185,186,1,2
3,H50,182,160,0,2
3,H66,162,171,1,2
3,J06,174,157,0,2
3,K31,109,212,0,2
3,G51,169,137,0,2
3,L30,122,174,0,2
3,C81,278,17,0,2
3,J03,144,150,0,2
3,C41,128,155,0,2
3,F41,114,166,0,2
3,Z00,123,150,1,2
3,H00,85,185,0,2
3,N92,0,248,0,2
3,R99,1247,1380,0,2
4,L70,1980,1931,0,2
4,H52,1351,2038,5,2
4,C91,1810,1508,0,2
4,Z34,0,2926,0,2
4,Z01,202,2401,0,2
4,Z33,0,2226,0,2
4,N39,230,1543,1,2
4,Z71,583,1125,2,2
4,Z46,541,857,0,2
4,E28,0,1186,0,2
4,H10,440,590,0,2
4,N18,519,450,2,2
4,A09,357,447,0,2
