id,id_genero,valor
1,1,4115
1,2,4269
1,3,2
2,1,4345
2,2,3680
2,3,1
3,1,2304
3,2,2186
3,3,2
4,1,1362
4,2,1259
4,3,0
5,1,1132
5,2,1036
5,3,3
6,1,627
6,2,1461
6,3,1
7,1,952
7,2,888
7,3,2
8,1,781
8,2,825
8,3,2
9,1,818
9,2,753
9,3,0
10,1,798
10,2,648
10,3,0
11,1,625
11,2,664
11,3,0
12,1,521
12,2,598
12,3,2
13,1,541
13,2,532
13,3,0
14,1,563
14,2,504
14,3,0
15,1,576
15,2,476
15,3,0
16,1,513
16,2,454
16,3,0
17,1,637
17,2,308
17,3,0
18,1,415
18,2,470
18,3,4
19,1,449
19,2,440
19,3,0
20,1,451
20,2,400
20,3,0
21,1,466
21,2,385
21,3,0
22,1,404
22,2,381
22,3,0
23,1,340
23,2,441
23,3,2
24,1,491
24,2,282
24,3,0
25,1,423
25,2,328
25,3,0
26,1,369
26,2,371
26,3,0
27,1,372
27,2,313
27,3,0
28,1,274
28,2,388
28,3,1
29,1,291
29,2,352
29,3,0
30,1,297
30,2,295
30,3,0
31,1,3897
31,2,3528
31,3,2
32,1,2615
32,2,2145
32,3,0
33,1,2006
33,2,2374
33,3,1
34,1,1438
34,2,1537
34,3,9
35,1,934
35,2,830
35,3,2
36,1,874
36,2,740
36,3,1
37,1,672
37,2,626
37,3,0
38,1,638
38,2,605
38,3,0
39,1,299
39,2,943
39,3,0
40,1,566
40,2,468
40,3,1
41,1,521
41,2,469
41,3,1
42,1,548
42,2,435
42,3,0
43,1,399
43,2,377
43,3,1
44,1,457
44,2,252
44,3,0
45,1,330
45,2,345
45,3,0
46,1,308
46,2,277
46,3,0
47,1,236
47,2,262
47,3,0
48,1,255
48,2,232
48,3,0
49,1,198
49,2,264
49,3,0
50,1,229
50,2,215
50,3,0
51,1,215
51,2,221
51,3,3
52,1,257
52,2,165
52,3,0
53,1,227
53,2,194
53,3,0
54,1,177
54,2,231
54,3,0
55,1,200
55,2,204
55,3,0
56,1,252
56,2,140
56,3,0
57,1,248
57,2,144
57,3,0
58,1,171
58,2,208
58,3,0
59,1,219
59,2,155
59,3,0
60,1,191
60,2,174
60,3,0
61,1,268
61,2,86
61,3,0
62,1,1737
62,2,1830
62,3,1
63,1,2200
63,2,1749
63,3,0
64,1,1506
64,2,1811
64,3,3
65,1,1040
65,2,1323
65,3,0
66,1,675
66,2,667
66,3,0
67,1,484
67,2,627
67,3,0
68,1,373
68,2,658
68,3,0
69,1,346
69,2,501
69,3,0
70,1,181
70,2,623
70,3,0
71,1,381
71,2,391
71,3,1
72,1,305
72,2,423
72,3,0
73,1,229
73,2,332
73,3,0
74,1,309
74,2,230
74,3,0
75,1,272
75,2,226
75,3,0
76,1,258
76,2,187
76,3,0
77,1,233
77,2,183
77,3,0
78,1,219
78,2,192
78,3,0
79,1,185
79,2,186
79,3,1
80,1,182
80,2,160
80,3,0
81,1,162
81,2,171
81,3,1
82,1,174
82,2,157
82,3,0
83,1,109
83,2,212
83,3,0
84,1,169
84,2,137
84,3,0
85,1,122
85,2,174
85,3,0
86,1,278
86,2,17
86,3,0
87,1,144
87,2,150
87,3,0
88,1,128
88,2,155
88,3,0
89,1,114
89,2,166
89,3,0
90,1,123
90,2,150
90,3,1
91,1,85
91,2,185
91,3,0
92,1,0
92,2,248
92,3,0
93,1,1247
93,2,1380
93,3,0
94,1,1980
94,2,1931
94,3,0
95,1,1351
95,2,2038
95,3,5
96,1,1810
96,2,1508
96,3,0
97,1,0
97,2,2926
97,3,0
98,1,202
98,2,2401
98,3,0
99,1,0
99,2,2226
99,3,0
100,1,230
100,2,1543
100,3,1
101,1,583
101,2,1125
101,3,2
102,1,541
102,2,857
102,3,0
103,1,0
103,2,1186
103,3,0
104,1,440
104,2,590
104,3,0
105,1,519
105,2,450
105,3,2
106,1,357
106,2,447
106,3,0
107,1,0
107,2,716
107,3,0
108,1,0
108,2,557
108,3,0
109,1,200
109,2,350
109,3,0
110,1,214
110,2,311
110,3,0
111,1,0
111,2,519
111,3,0
112,1,236
112,2,278
112,3,0
113,1,253
113,2,241
113,3,0
114,1,278
114,2,203
114,3,0
115,1,167
115,2,303
115,3,0
116,1,1
116,2,464
116,3,0
117,1,0
117,2,415
117,3,0
118,1,223
118,2,176
118,3,0
119,1,119
119,2,270
119,3,0
120,1,0
120,2,375
120,3,0
121,1,210
121,2,154
121,3,0
122,1,0
122,2,355
122,3,0
123,1,87
123,2,251
123,3,0
124,1,1060
124,2,2118
124,3,0
125,1,216
125,2,8481
125,3,6
126,1,0
126,2,8449
126,3,0
127,1,5191
127,2,2211
127,3,39
128,1,0
128,2,5234
128,3,0
129,1,1183
129,2,1912
129,3,3
130,1,971
130,2,2045
130,3,0
131,1,361
131,2,2592
131,3,2
132,1,13
132,2,2370
132,3,0
133,1,391
133,2,1681
133,3,3
134,1,0
134,2,1947
134,3,0
135,1,0
135,2,1906
135,3,0
136,1,0
136,2,1593
136,3,0
137,1,0
137,2,1576
137,3,0
138,1,452
138,2,681
138,3,3
139,1,0
139,2,948
139,3,0
140,1,306
140,2,546
140,3,2
141,1,515
141,2,338
141,3,0
142,1,382
142,2,449
142,3,0
143,1,0
143,2,784
143,3,0
144,1,297
144,2,315
144,3,0
145,1,209
145,2,401
145,3,0
146,1,140
146,2,465
146,3,2
147,1,0
147,2,572
147,3,0
148,1,195
148,2,362
148,3,0
149,1,432
149,2,68
149,3,0
150,1,0
150,2,477
150,3,0
151,1,23
151,2,451
151,3,0
152,1,188
152,2,279
152,3,0
153,1,194
153,2,247
153,3,0
154,1,185
154,2,251
154,3,2
155,1,1057
155,2,3074
155,3,4
156,1,173
156,2,11655
156,3,4
157,1,0
157,2,9187
157,3,0
158,1,7059
158,2,2044
158,3,50
159,1,0
159,2,5205
159,3,0
160,1,334
160,2,2652
160,3,5
161,1,1079
161,2,1668
161,3,8
162,1,29
162,2,2617
162,3,0
163,1,0
163,2,2593
163,3,0
164,1,348
164,2,2014
164,3,0
165,1,0
165,2,1791
165,3,0
166,1,362
166,2,1393
166,3,0
167,1,0
167,2,1746
167,3,0
168,1,0
168,2,1625
168,3,0
169,1,0
169,2,1517
169,3,0
170,1,438
170,2,711
170,3,2
171,1,512
171,2,422
171,3,0
172,1,296
172,2,580
172,3,3
173,1,325
173,2,441
173,3,0
174,1,379
174,2,351
174,3,0
175,1,0
175,2,729
175,3,0
176,1,0
176,2,717
176,3,0
177,1,159
177,2,533
177,3,0
178,1,17
178,2,640
178,3,0
179,1,244
179,2,397
179,3,2
180,1,0
180,2,599
180,3,0
181,1,261
181,2,274
181,3,1
182,1,180
182,2,344
182,3,0
183,1,201
183,2,309
183,3,0
184,1,454
184,2,56
184,3,0
185,1,264
185,2,236
185,3,0
186,1,971
186,2,3427
186,3,2
187,1,126
187,2,11637
187,3,0
188,1,7340
188,2,3895
188,3,61
189,1,0
189,2,6331
189,3,0
190,1,0
190,2,3580
190,3,0
191,1,323
191,2,2237
191,3,1
192,1,0
192,2,2398
192,3,0
193,1,861
193,2,1527
193,3,7
194,1,408
194,2,1835
194,3,1
195,1,33
195,2,1732
195,3,0
196,1,0
196,2,1733
196,3,0
197,1,0
197,2,1413
197,3,0
198,1,0
198,2,1175
198,3,0
199,1,427
199,2,641
199,3,2
200,1,0
200,2,1031
200,3,0
201,1,141
201,2,741
201,3,0
202,1,459
202,2,402
202,3,0
203,1,174
203,2,628
203,3,0
204,1,312
204,2,478
204,3,4
205,1,45
205,2,735
205,3,0
206,1,332
206,2,421
206,3,0
207,1,0
207,2,666
207,3,0
208,1,244
208,2,420
208,3,1
209,1,256
209,2,388
209,3,1
210,1,415
210,2,226
210,3,0
211,1,0
211,2,627
211,3,0
212,1,239
212,2,335
212,3,0
213,1,59
213,2,493
213,3,0
214,1,233
214,2,291
214,3,0
215,1,0
215,2,514
215,3,0
216,1,203
216,2,276
216,3,1
217,1,879
217,2,3299
217,3,2
218,1,7848
218,2,3387
218,3,45
219,1,134
219,2,10704
219,3,2
220,1,0
220,2,3052
220,3,0
221,1,300
221,2,2031
221,3,0
222,1,0
222,2,2144
222,3,0
223,1,699
223,2,1298
223,3,3
224,1,365
224,2,1574
224,3,1
225,1,0
225,2,1867
225,3,0
226,1,0
226,2,1752
226,3,0
227,1,0
227,2,1170
227,3,0
228,1,32
228,2,952
228,3,0
229,1,0
229,2,951
229,3,0
230,1,0
230,2,897
230,3,0
231,1,293
231,2,491
231,3,1
232,1,87
232,2,695
232,3,0
233,1,299
233,2,482
233,3,0
234,1,426
234,2,347
234,3,0
235,1,161
235,2,562
235,3,0
236,1,18
236,2,703
236,3,0
237,1,339
237,2,370
237,3,0
238,1,272
238,2,407
238,3,3
239,1,269
239,2,375
239,3,0
240,1,229
240,2,388
240,3,0
241,1,0
241,2,592
241,3,0
242,1,181
242,2,411
242,3,0
243,1,215
243,2,373
243,3,0
244,1,209
244,2,370
244,3,1
245,1,151
245,2,371
245,3,0
246,1,0
246,2,521
246,3,0
247,1,185
247,2,330
247,3,1
248,1,802
248,2,3069
248,3,4
249,1,6768
249,2,4612
249,3,54
250,1,110
250,2,10132
250,3,2
251,1,832
251,2,1677
251,3,3
252,1,228
252,2,1768
252,3,1
253,1,0
253,2,1855
253,3,0
254,1,340
254,2,1456
254,3,0
255,1,0
255,2,1601
255,3,0
256,1,0
256,2,1515
256,3,0
257,1,415
257,2,749
257,3,1
258,1,368
258,2,744
258,3,0
259,1,0
259,2,909
259,3,0
260,1,335
260,2,508
260,3,1
261,1,0
261,2,843
261,3,0
262,1,0
262,2,832
262,3,0
263,1,56
263,2,727
263,3,0
264,1,415
264,2,365
264,3,1
265,1,295
265,2,470
265,3,0
266,1,171
266,2,590
266,3,1
267,1,542
267,2,214
267,3,0
268,1,282
268,2,458
268,3,1
269,1,247
269,2,458
269,3,0
270,1,16
270,2,642
270,3,0
271,1,260
271,2,380
271,3,0
272,1,158
272,2,458
272,3,0
273,1,198
273,2,368
273,3,0
274,1,0
274,2,540
274,3,0
275,1,0
275,2,529
275,3,0
276,1,191
276,2,333
276,3,0
277,1,18
277,2,501
277,3,0
278,1,200
278,2,317
278,3,0
279,1,751
279,2,2903
279,3,2
280,1,7321
280,2,3984
280,3,66
281,1,119
281,2,7995
281,3,7
282,1,1049
282,2,1908
282,3,4
283,1,221
283,2,1560
283,3,0
284,1,322
284,2,1380
284,3,1
285,1,489
285,2,989
285,3,1
286,1,400
286,2,986
286,3,2
287,1,0
287,2,1271
287,3,0
288,1,824
288,2,390
288,3,0
289,1,0
289,2,1147
289,3,0
290,1,0
290,2,1146
290,3,0
291,1,0
291,2,1074
291,3,0
292,1,299
292,2,522
292,3,0
293,1,300
293,2,486
293,3,0
294,1,408
294,2,355
294,3,2
295,1,333
295,2,429
295,3,0
296,1,165
296,2,560
296,3,0
297,1,0
297,2,709
297,3,0
298,1,249
298,2,434
298,3,0
299,1,240
299,2,436
299,3,2
300,1,207
300,2,414
300,3,0
301,1,152
301,2,466
301,3,0
302,1,0
302,2,579
302,3,0
303,1,174
303,2,404
303,3,0
304,1,18
304,2,550
304,3,0
305,1,0
305,2,523
305,3,0
306,1,34
306,2,462
306,3,0
307,1,69
307,2,395
307,3,0
308,1,160
308,2,298
308,3,0
309,1,156
309,2,267
309,3,0
310,1,685
310,2,2483
310,3,5
311,1,5785
311,2,3414
311,3,38
312,1,88
312,2,5407
312,3,1
313,1,813
313,2,1704
313,3,6
314,1,706
314,2,1313
314,3,2
315,1,501
315,2,1041
315,3,1
316,1,175
316,2,1168
316,3,5
317,1,253
317,2,1061
317,3,1
318,1,865
318,2,303
318,3,0
319,1,437
319,2,709
319,3,0
320,1,0
320,2,1080
320,3,0
321,1,316
321,2,511
321,3,0
322,1,0
322,2,809
322,3,0
323,1,379
323,2,389
323,3,1
324,1,195
324,2,516
324,3,0
325,1,295
325,2,383
325,3,7
326,1,0
326,2,671
326,3,0
327,1,225
