id_atencion_por_tipo_consulta,lim_inf_rango,lim_sup_rango,id_sexo,id_tipo_consulta,total
1,0,4,1,1,25579
2,0,4,1,2,12477
3,0,4,1,3,6110
4,0,4,1,4,30
5,0,4,1,5,0
6,0,4,1,6,842
7,0,4,2,1,23495
8,0,4,2,2,12302
9,0,4,2,3,5702
10,0,4,2,4,27
11,0,4,2,5,0
12,0,4,2,6,770
13,0,4,3,1,13
14,0,4,3,2,17
15,0,4,3,3,0
16,0,4,3,4,0
17,0,4,3,5,0
18,0,4,3,6,0
19,0,9,1,1,14468
20,0,9,1,2,10275
21,0,9,1,3,2215
22,0,9,1,4,7
23,0,9,1,5,1
24,0,9,1,6,273
25,0,9,2,1,14594
26,0,9,2,2,9527
27,0,9,2,3,1965
28,0,9,2,4,18
29,0,9,2,5,1
30,0,9,2,6,242
31,0,9,3,1,13
32,0,9,3,2,12
33,0,9,3,3,0
34,0,9,3,4,0
35,0,9,3,5,0
36,0,9,3,6,0
37,10,14,1,1,10540
38,10,14,1,2,8729
39,10,14,1,3,1379
40,10,14,1,4,20
41,10,14,1,5,1
42,10,14,1,6,145
43,10,14,2,1,12940
44,10,14,2,2,8552
45,10,14,2,3,1311
46,10,14,2,4,14
47,10,14,2,5,0
48,10,14,2,6,184
49,10,14,3,1,5
50,10,14,3,2,4
51,10,14,3,3,1
52,10,14,3,4,0
53,10,14,3,5,0
54,10,14,3,6,0
55,15,19,1,1,10921
56,15,19,1,2,8924
57,15,19,1,3,1386
58,15,19,1,4,12
59,15,19,1,5,1
60,15,19,1,6,134
61,15,19,2,1,25581
62,15,19,2,2,12254
63,15,19,2,3,1860
64,15,19,2,4,15
65,15,19,2,5,3
66,15,19,2,6,352
67,15,19,3,1,10
68,15,19,3,2,9
69,15,19,3,3,1
70,15,19,3,4,0
71,15,19,3,5,0
72,15,19,3,6,0
73,20,24,1,1,11785
74,20,24,1,2,9904
75,20,24,1,3,1569
76,20,24,1,4,27
77,20,24,1,5,2
78,20,24,1,6,140
79,20,24,2,1,47310
80,20,24,2,2,18493
81,20,24,2,3,2298
82,20,24,2,4,37
83,20,24,2,5,5
84,20,24,2,6,554
85,20,24,3,1,22
86,20,24,3,2,55
87,20,24,3,3,2
88,20,24,3,4,0
89,20,24,3,5,0
90,20,24,3,6,0
91,25,29,1,1,10905
92,25,29,1,2,11423
93,25,29,1,3,1452
94,25,29,1,4,28
95,25,29,1,5,0
96,25,29,1,6,149
97,25,29,2,1,53051
98,25,29,2,2,19839
99,25,29,2,3,2259
100,25,29,2,4,46
101,25,29,2,5,6
102,25,29,2,6,548
103,25,29,3,1,17
104,25,29,3,2,73
105,25,29,3,3,4
106,25,29,3,4,0
107,25,29,3,5,0
108,25,29,3,6,0
109,30,34,1,1,10055
110,30,34,1,2,10949
111,30,34,1,3,1351
112,30,34,1,4,22
113,30,34,1,5,3
114,30,34,1,6,105
115,30,34,2,1,46577
116,30,34,2,2,19860
117,30,34,2,3,1890
118,30,34,2,4,34
119,30,34,2,5,7
120,30,34,2,6,425
121,30,34,3,1,17
122,30,34,3,2,74
123,30,34,3,3,2
124,30,34,3,4,0
125,30,34,3,5,0
126,30,34,3,6,1
127,35,39,1,1,8893
128,35,39,1,2,11340
129,35,39,1,3,1216
130,35,39,1,4,20
131,35,39,1,5,3
132,35,39,1,6,115
133,35,39,2,1,39475
134,35,39,2,2,17281
135,35,39,2,3,1637
136,35,39,2,4,32
137,35,39,2,5,5
138,35,39,2,6,370
139,35,39,3,1,16
140,35,39,3,2,55
141,35,39,3,3,6
142,35,39,3,4,0
143,35,39,3,5,0
144,35,39,3,6,0
145,40,44,1,1,9052
146,40,44,1,2,10891
147,40,44,1,3,1036
148,40,44,1,4,15
149,40,44,1,5,6
150,40,44,1,6,125
151,40,44,2,1,36368
152,40,44,2,2,17955
153,40,44,2,3,1463
154,40,44,2,4,20
155,40,44,2,5,3
156,40,44,2,6,316
157,40,44,3,1,12
158,40,44,3,2,63
159,40,44,3,3,4
160,40,44,3,4,0
161,40,44,3,5,0
162,40,44,3,6,0
163,45,49,1,1,8669
164,45,49,1,2,11920
165,45,49,1,3,910
166,45,49,1,4,13
167,45,49,1,5,2
168,45,49,1,6,97
169,45,49,2,1,31085
170,45,49,2,2,16774
171,45,49,2,3,1429
172,45,49,2,4,28
173,45,49,2,5,8
174,45,49,2,6,340
175,45,49,3,1,28
176,45,49,3,2,73
177,45,49,3,3,1
178,45,49,3,4,0
179,45,49,3,5,0
180,45,49,3,6,2
181,50,54,1,1,8292
182,50,54,1,2,9999
183,50,54,1,3,800
184,50,54,1,4,15
185,50,54,1,5,2
186,50,54,1,6,100
187,50,54,2,1,24187
188,50,54,2,2,14873
189,50,54,2,3,1343
190,50,54,2,4,28
191,50,54,2,5,8
192,50,54,2,6,336
193,50,54,3,1,20
194,50,54,3,2,60
195,50,54,3,3,3
196,50,54,3,4,0
197,50,54,3,5,0
198,50,54,3,6,0
199,55,59,1,1,8275
200,55,59,1,2,13576
201,55,59,1,3,774
202,55,59,1,4,17
203,55,59,1,5,5
204,55,59,1,6,120
205,55,59,2,1,21600
206,55,59,2,2,16803
207,55,59,2,3,1325
208,55,59,2,4,23
209,55,59,2,5,7
210,55,59,2,6,306
211,55,59,3,1,11
212,55,59,3,2,73
213,55,59,3,3,1
214,55,59,3,4,0
215,55,59,3,5,0
216,55,59,3,6,1
217,60,64,1,1,7545
218,60,64,1,2,14181
219,60,64,1,3,833
220,60,64,1,4,20
