"id","municipio","id_departamento"
"0101",Guatemala,"01"
"0102",Santa Catarina Pinula,"01"
"0103",San José Pinula,"01"
"0104",San José del Golfo,"01"
"0105",Palencia,"01"
"0106",Chinautla,"01"
"0107",San Pedro Ayampuc,"01"
"0108",Mixco,"01"
"0109",San Pedro Sacatepéquez,"01"
"0110",San Juan Sacatepéquez,"01"
"0111",San Raymundo,"01"
"0112",Chuarrancho,"01"
"0113",Fraijanes,"01"
"0114",Amatitlán,"01"
"0115",Villa Nueva,"01"
"0116",Villa Canales,"01"
"0117",Petapa,"01"
"0201",Guastatoya,"02"
"0202",Morazán,"02"
"0203",San Agustín Acasaguastlán,"02"
"0204",San Cristóbal Acasaguastlán,"02"
"0205",El Jícaro,"02"
"0206",Sansare,"02"
"0207",Sanarate,"02"
"0208",San Antonio la Paz,"02"
"0301",Antigua Guatemala,"03"
"0302",Jocotenango,"03"
"0303",Pastores,"03"
"0304",Sumpango,"03"
"0305",Santo Domingo Xenacoj,"03"
"0306",Santiago Sacatepéquez,"03"
"0307",San Bartolomé Milpas Altas,"03"
"0308",San Lucas Sacatepéquez,"03"
"0309",Santa Lucía Milpas Altas,"03"
"0310",Magdalena Milpas Altas,"03"
"0311",Santa María de Jesús,"03"
"0312",Ciudad Vieja,"03"
"0313",San Miguel Dueñas,"03"
"0314",Alotenango,"03"
"0315",San Antonio Aguas Calientes,"03"
"0316",Santa Catarina Barahona,"03"
"0401",Chimaltenango,"04"
"0402",San José Poaquíl,"04"
"0403",San Martín Jilotepeque,"04"
"0404",Comalapa,"04"
"0405",Santa Apolonia,"04"
"0406",Tecpán Guatemala,"04"
"0407",Patzún,"04"
"0408",Pochuta,"04"
"0409",Patzicía,"04"
"0410",Santa Cruz Balanyá,"04"
"0411",Acatenango,"04"
"0412",Yepocapa,"04"
"0413",San Andrés Itzapa,"04"
"0414",Parramos,"04"
"0415",Zaragoza,"04"
"0416",El Tejar,"04"
"0501",Escuintla,"05"
"0502",Santa Lucía Cotzumalguapa,"05"
"0503",La Democracia,"05"
"0504",Siquinalá,"05"
