anio_nacimiento,area_salud,departamento,municipio,codigo_municipio,num_dosis,sexo,n_vacunados,poblacion
2006,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,207,833
2006,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,129,833
2007,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,729,847
2007,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,572,847
2008,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,859,1014
2008,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,650,1014
2009,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,767,880
2009,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,622,880
2010,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,675,874
2010,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,439,874
2011,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,750,849
2011,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,335,849
2012,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,575,931
2012,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,106,931
2013,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,531,884
2013,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,2a.,Femenino,5,884
2014,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,464,780
2015,ALTA VERAPAZ,ALTA VERAPAZ,CAHABON,1612,1a.,Femenino,124,896
2006,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,198,285
2006,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,156,285
2007,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,354,361
2007,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,339,361
2008,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,341,355
2008,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,332,355
2009,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,332,383
2009,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,325,383
2010,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,341,334
2010,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,263,334
2011,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,294,357
2011,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,161,357
2012,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,301,426
2012,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,101,426
2013,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,286,385
2013,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,2a.,Femenino,13,385
2014,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,223,400
2015,ALTA VERAPAZ,ALTA VERAPAZ,CHAHAL,1614,1a.,Femenino,57,427
2006,ALTA VERAPAZ,ALTA VERAPAZ,CHISEC,1613,1a.,Femenino,415,1155
2006,ALTA VERAPAZ,ALTA VERAPAZ,CHISEC,1613,2a.,Femenino,229,1155
2007,ALTA VERAPAZ,ALTA VERAPAZ,CHISEC,1613,1a.,Femenino,1128,1233
