anio_nacimiento,area_salud,departamento,municipio,num_dosis,sexo,n_vacunados,poblacion
2006,0,16,1612.0,0,2,207,833
2006,0,16,1612.0,1,2,129,833
2007,0,16,1612.0,0,2,729,847
2007,0,16,1612.0,1,2,572,847
2008,0,16,1612.0,0,2,859,1014
2008,0,16,1612.0,1,2,650,1014
2009,0,16,1612.0,0,2,767,880
2009,0,16,1612.0,1,2,622,880
2010,0,16,1612.0,0,2,675,874
2010,0,16,1612.0,1,2,439,874
2011,0,16,1612.0,0,2,750,849
2011,0,16,1612.0,1,2,335,849
2012,0,16,1612.0,0,2,575,931
2012,0,16,1612.0,1,2,106,931
2013,0,16,1612.0,0,2,531,884
2013,0,16,1612.0,1,2,5,884
2014,0,16,1612.0,0,2,464,780
2015,0,16,1612.0,0,2,124,896
2006,0,16,1614.0,0,2,198,285
2006,0,16,1614.0,1,2,156,285
2007,0,16,1614.0,0,2,354,361
2007,0,16,1614.0,1,2,339,361
2008,0,16,1614.0,0,2,341,355
2008,0,16,1614.0,1,2,332,355
2009,0,16,1614.0,0,2,332,383
2009,0,16,1614.0,1,2,325,383
2010,0,16,1614.0,0,2,341,334
2010,0,16,1614.0,1,2,263,334
2011,0,16,1614.0,0,2,294,357
2011,0,16,1614.0,1,2,161,357
2012,0,16,1614.0,0,2,301,426
2012,0,16,1614.0,1,2,101,426
2013,0,16,1614.0,0,2,286,385
2013,0,16,1614.0,1,2,13,385
2014,0,16,1614.0,0,2,223,400
2015,0,16,1614.0,0,2,57,427
2006,0,16,1613.0,0,2,415,1155
2006,0,16,1613.0,1,2,229,1155
2007,0,16,1613.0,0,2,1128,1233
2007,0,16,1613.0,1,2,957,1233
2008,0,16,1613.0,0,2,1296,1344
2008,0,16,1613.0,1,2,1044,1344
2009,0,16,1613.0,0,2,1086,1387
2009,0,16,1613.0,1,2,713,1387
2010,0,16,1613.0,0,2,961,1478
2010,0,16,1613.0,1,2,476,1478
2011,0,16,1613.0,0,2,906,1408
2011,0,16,1613.0,1,2,320,1408
2012,0,16,1613.0,0,2,646,1551
2012,0,16,1613.0,1,2,109,1551
2013,0,16,1613.0,0,2,589,1362
2013,0,16,1613.0,1,2,11,1362
2014,0,16,1613.0,0,2,414,1330
2015,0,16,1613.0,0,2,104,1405
2006,0,16,1601.0,0,2,1410,2484
2006,0,16,1601.0,1,2,853,2484
2007,0,16,1601.0,0,2,2577,2811
2007,0,16,1601.0,1,2,2439,2811
2008,0,16,1601.0,0,2,2622,3046
2008,0,16,1601.0,1,2,2429,3046
2009,0,16,1601.0,0,2,2536,2661
2009,0,16,1601.0,1,2,2024,2661
2010,0,16,1601.0,0,2,2239,2651
2010,0,16,1601.0,1,2,1623,2651
2011,0,16,1601.0,0,2,2260,2628
2011,0,16,1601.0,1,2,1339,2628
2012,0,16,1601.0,0,2,2060,2775
2012,0,16,1601.0,1,2,685,2775
2013,0,16,1601.0,0,2,1763,2725
2013,0,16,1601.0,1,2,60,2725
2014,0,16,1601.0,0,2,1347,2651
2015,0,16,1601.0,0,2,288,2709
2006,0,16,1615.0,0,2,299,822
2006,0,16,1615.0,1,2,218,822
2007,0,16,1615.0,0,2,809,925
2007,0,16,1615.0,1,2,716,925
2008,0,16,1615.0,0,2,925,1099
2008,0,16,1615.0,1,2,756,1099
2009,0,16,1615.0,0,2,824,931
2009,0,16,1615.0,1,2,668,931
2010,0,16,1615.0,0,2,701,1015
2010,0,16,1615.0,1,2,530,1015
2011,0,16,1615.0,0,2,730,952
2011,0,16,1615.0,1,2,439,952
2012,0,16,1615.0,0,2,587,983
2012,0,16,1615.0,1,2,186,983
2013,0,16,1615.0,0,2,549,1089
2013,0,16,1615.0,1,2,86,1089
2014,0,16,1615.0,0,2,468,984
2015,0,16,1615.0,0,2,118,1067
2006,0,16,1611.0,0,2,131,291
2006,0,16,1611.0,1,2,107,291
2007,0,16,1611.0,0,2,263,293
2007,0,16,1611.0,1,2,253,293
2008,0,16,1611.0,0,2,339,353
2008,0,16,1611.0,1,2,270,353
2009,0,16,1611.0,0,2,315,342
2009,0,16,1611.0,1,2,249,342
2010,0,16,1611.0,0,2,320,374
2010,0,16,1611.0,1,2,235,374
2011,0,16,1611.0,0,2,272,341
2011,0,16,1611.0,1,2,117,341
2012,0,16,1611.0,0,2,217,352
2012,0,16,1611.0,1,2,37,352
2013,0,16,1611.0,0,2,149,356
2013,0,16,1611.0,1,2,2,356
2014,0,16,1611.0,0,2,140,339
2015,0,16,1611.0,0,2,20,316
2006,0,16,,0,2,266,505
2006,0,16,,1,2,116,505
2007,0,16,,0,2,583,551
2007,0,16,,1,2,477,551
2008,0,16,,0,2,718,650
2008,0,16,,1,2,604,650
2009,0,16,,0,2,601,617
